# URDRVXS1 conditioned fate census — emitted by voxfate.generate(), committed as an
# artifact, re-derived by the gate.
# world 29afd3369106966070bace50a9cb9e084607c14f9dc44c9bbd97a4fcc503715b
# THE POPULATION IS CONDITIONED FIRST: only the pixels `voxtie` classifies as stable,
# where the oracle is unchanged at the exact sample, a thousandth of a pixel either
# side in both screen directions, and under six single-axis camera perturbations.
# Every earlier fate distribution in this arc mixed those with event-surface samples
# and edge/corner degeneracies, and a mechanism read off that mixture is a mechanism
# for an average of three unrelated things.
#   fate    <fate> <conditioned> <with-sampling-branch> <impossible>
#   pixel   <frame> <px> <py> <fate> <impossible>
#   digest  <population digest>
fate sampling_shift 0 269 0
fate not_generated 0 0 0
fate near_clipped 0 0 0
fate degenerate 0 0 0
fate backface 0 0 0
fate offscreen 0 0 0
fate not_covered 318 107 78
fate depth_rejected 58 2 2
fate no_face_answer 0 0 0
fate phantom 2 0 0
fate unknown 0 0 0
pixel 5 12 62 depth_rejected 0
pixel 5 25 64 depth_rejected 0
pixel 5 28 64 not_covered 0
pixel 5 34 66 not_covered 0
pixel 5 10 69 not_covered 0
pixel 6 16 16 phantom 0
pixel 6 2 20 not_covered 0
pixel 6 12 20 not_covered 0
pixel 6 19 20 not_covered 0
pixel 6 13 23 depth_rejected 0
pixel 6 58 23 not_covered 0
pixel 6 31 25 depth_rejected 0
pixel 6 36 26 not_covered 0
pixel 6 66 28 not_covered 0
pixel 6 44 31 depth_rejected 0
pixel 6 62 32 not_covered 0
pixel 6 20 34 depth_rejected 0
pixel 6 44 35 not_covered 0
pixel 6 44 36 not_covered 0
pixel 6 19 38 depth_rejected 1
pixel 6 52 43 not_covered 0
pixel 6 29 44 not_covered 0
pixel 6 52 44 not_covered 0
pixel 6 12 45 depth_rejected 0
pixel 6 21 46 depth_rejected 1
pixel 6 23 52 not_covered 0
pixel 6 31 54 not_covered 0
pixel 6 46 55 not_covered 0
pixel 6 61 55 not_covered 0
pixel 6 14 61 depth_rejected 0
pixel 6 58 64 not_covered 0
pixel 6 63 64 not_covered 0
pixel 6 55 65 not_covered 0
pixel 6 55 66 not_covered 0
pixel 6 65 66 not_covered 0
pixel 6 44 67 not_covered 0
pixel 6 36 70 not_covered 0
pixel 6 60 71 not_covered 1
digest d243b56837130800ff12d5edf04e3481a67258100da93bf4d0134d1a6bb2a401
